scorer,,,Ben,Ben,Ben,Ben,Ben,Ben,Ben,Ben
bodyparts,,,left,left,right,right,top,top,bottom,bottom
coords,,,x,y,x,y,x,y,x,y
labeled-data,CVR_M32_13juin,img00619.png,904.4901517791051,429.2578554460796,951.1758570436169,430.97225593804035,928.0832245000516,405.2448935069541,926.5333833897453,451.8951109271767
labeled-data,CVR_M32_13juin,img01613.png,918.8669477256143,427.17113292541114,940.5756765507429,427.8683333579862,929.7286256138694,416.7171594976491,,
labeled-data,CVR_M32_13juin,img02029.png,910.260051731528,431.12724004907096,951.1758570436169,432.36711293731605,931.1829067206644,410.51435328199585,930.2530020544805,453.59993614851373
labeled-data,CVR_M32_13juin,img02124.png,908.8651947322523,432.21212882628544,952.4157299318621,432.2121288262855,930.8729384986032,409.42946450478144,930.2530020544806,454.5298408146976
labeled-data,CVR_M32_13juin,img02190.png,904.9905919564862,425.85778027402927,949.4710318222799,426.63270082918245,926.9983357228372,403.8500365076784,926.5333833897453,449.72533337274774
labeled-data,CVR_M32_13juin,img02512.png,904.6940225010483,426.3264340959591,947.0684831703293,426.8333056350653,925.6785042200463,406.0515725317098,924.3606382183701,448.4260332009908
labeled-data,CVR_M32_13juin,img02682.png,904.187150961942,429.0635404071327,949.7042151736817,430.07728348534516,928.010113299935,405.74744960824603,926.8949959139013,452.0755082825557
labeled-data,CVR_M32_13juin,img02728.png,903.2857667351493,426.6327008291824,948.8510953781574,427.09765316227436,925.4484946125308,404.6249570628315,925.1385263904696,449.26038103965584
labeled-data,CVR_M32_13juin,img02931.png,904.7953968088696,425.9209368646741,945.2437456295469,427.2388028663503,924.7661354496552,406.76119268645846,924.1578896027277,447.10816719931455
labeled-data,CVR_M32_13juin,img03148.png,905.7655125116396,426.4777167181518,945.2864608244528,427.56260549536626,925.9134469456227,407.41467106138305,925.4484946125308,445.69574648595113
labeled-data,CVR_M32_13juin,img03888.png,904.6940225010484,427.84704871327773,949.5014665580393,428.45529456020523,927.5032417608288,406.6598183786372,927.1991188373651,450.7576422808794
labeled-data,CVR_M32_13juin,img03960.png,905.7655125116396,428.8024783836114,949.47103182228,429.422414827734,927.4632880559292,407.1047028393218,927.4632880559292,450.3452698168703
labeled-data,CVR_M32_13juin,img04336.png,908.1407489669707,427.6443000976352,946.6629859390443,427.94842302109896,928.41561053122,408.18043299595587,927.6046160686501,447.8177873540633
labeled-data,CVR_M32_13juin,img04557.png,909.1751629543137,426.94266905124374,946.6813178237285,428.18254193948883,927.7732562779904,409.11949628272015,927.3083039448984,446.78063526316566
labeled-data,CVR_M32_13juin,img04592.png,910.8772732402988,427.02012287466505,945.2445178184234,428.14486906085824,927.7484660331963,410.02395828330157,927.7484660331963,446.5157234353467
labeled-data,CVR_M32_13juin,img04809.png,913.0067157423905,426.6305570194228,943.0135108574796,427.94842302109896,928.3142362233988,412.64090254009074,928.3142362233987,443.4586921177497
labeled-data,CVR_M32_13juin,img05150.png,911.181978201608,426.1236854803165,943.5203823965858,426.731931327244,927.4018674530075,410.30929346020207,926.6922472982588,443.56006642557094
