scorer,,,Ben,Ben,Ben,Ben,Ben,Ben,Ben,Ben
bodyparts,,,left,left,right,right,top,top,bottom,bottom
coords,,,x,y,x,y,x,y,x,y
labeled-data,CVR_M32_13juin_analysed,img00619.png,15.08825142303467,39.99411692463022,62.89998215481612,40.56330419524667,38.282632700654844,16.088251558739493,38.14033588300073,65.03835683175384
labeled-data,CVR_M32_13juin_analysed,img00821.png,16.795813234884015,41.13249146586311,63.326872607778476,41.55938191882545,39.421007241887736,19.076484729475833,39.13641360657951,65.7498409200244
labeled-data,CVR_M32_13juin_analysed,img02029.png,21.633905035123796,42.55545964240423,61.76160761358323,42.41316282475012,42.12464677731585,21.78012426490395,41.98234995966174,63.89998229052095
labeled-data,CVR_M32_13juin_analysed,img02124.png,19.926343223274465,40.84789783055489,62.89998215481612,40.990194648209,41.41316268904529,20.78404654132517,41.41316268904529,64.6114663787915
labeled-data,CVR_M32_13juin_analysed,img02190.png,15.08825142303467,36.0098060303151,61.05012352531267,35.867509212660984,38.42492951830896,15.803657923431267,38.14033588300073,59.48878094324349
labeled-data,CVR_M32_13juin_analysed,img02728.png,13.949876881801778,37.717367842164435,59.62715534877155,37.717367842164435,37.855742247692504,15.661361105777157,37.286554977076065,59.20418730793527
labeled-data,CVR_M32_13juin_analysed,img03148.png,16.795813234884008,36.57899330093154,55.2159540014941,36.72129011858566,36.00588361818906,17.653516552934718,35.152102712264394,56.64284459016126
labeled-data,CVR_M32_13juin_analysed,img03263.png,16.653516417229895,37.2904773892021,54.931360366185885,37.005883753893876,35.00980589461027,19.218781547129947,35.43669634757261,56.35825095485304
labeled-data,CVR_M32_13juin_analysed,img03706.png,12.953799158222996,34.44454103611987,55.927438089764664,34.871431489082205,35.29439952991849,15.94595474108538,34.44061862399383,55.93136050189071
labeled-data,CVR_M32_13juin_analysed,img03960.png,16.938110052538118,38.57114874808911,59.62715534877155,38.713445565743214,38.70952315361717,18.93418791182172,38.85181997127128,60.48485866682228
labeled-data,CVR_M32_13juin_analysed,img04557.png,19.214859135003902,38.28655511278088,56.92351581334344,38.28655511278088,38.42492951830896,20.214859270708725,38.14033588300073,57.0697350431236
labeled-data,CVR_M32_13juin_analysed,img04592.png,21.207014582161467,37.85966465981855,55.64284445445644,37.717367842164435,38.14033588300073,21.63782744724984,37.855742247692504,56.073657319544814
labeled-data,CVR_M32_13juin_analysed,img04707.png,22.060795488086132,37.57507102451032,55.78514127211055,37.717367842164435,38.85181997127128,22.207014717866286,39.13641360657951,56.073657319544814
labeled-data,CVR_M32_13juin_analysed,img05067.png,21.6339050351238,37.2904773892021,55.78514127211055,37.717367842164435,38.994116788925396,21.922421082558063,38.85181997127128,55.64676686658248
labeled-data,CVR_M32_13juin_analysed,img06082.png,25.19132547647658,37.717367842164435,57.065812630997556,37.85966465981855,41.41316268904529,22.776201988482732,40.2747881478124,54.93528277831192
labeled-data,CVR_M32_13juin_analysed,img07150.png,24.76443502351425,37.005883753893876,55.927438089764664,36.72129011858566,39.56330405954185,22.63390517082862,39.84789769485006,55.50447004892837
